Dataset_Fraction,Train_Size,Test_Size,Model,Positive_Accuracy,Negative_Accuracy,Neutral_Accuracy,Macro_F1,Test_Accuracy,Train_Accuracy,Train_Macro_F1,Test_Macro_F1,Accuracy_Gap,Positive_Accuracy_Std,Negative_Accuracy_Std,Neutral_Accuracy_Std,Macro_F1_Std,Test_Accuracy_Std,Train_Accuracy_Std,Train_Macro_F1_Std,Test_Macro_F1_Std,Accuracy_Gap_Std,Positive_Accuracy_CI95,Negative_Accuracy_CI95,Neutral_Accuracy_CI95,Macro_F1_CI95,Test_Accuracy_CI95,Train_Accuracy_CI95,Accuracy_Gap_CI95,Seeds_Used
0.2,9526,2457,BiLSTM,54.94736842105263,40.503144654088054,63.43723673125526,52.265937337360626,54.37525437525438,81.05185807264328,78.36814145767012,52.265937337360626,26.676603697388906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2,9526,2457,Logistic Regression,55.64912280701754,50.81761006289309,60.039314799213706,55.06213559785768,56.20675620675621,88.7815802365456,88.3144473068756,55.06213559785768,32.57482402978938,1.207343897128789,4.046067281111889,2.5183150487442147,0.2466441693077522,0.1522856079273068,0.3180997460245903,0.3210230335844242,0.2466441693077522,0.4666949328144915,1.3662382350630462,4.578556146462201,2.8497417477416453,0.2791041519860095,0.1723273879918513,0.3599637490330397,0.5281150323761666,3
0.2,9526,2457,Random Forest,40.70175438596491,32.74633123689728,74.3049705139006,49.61474950808704,54.36168769502103,76.61487857792707,75.97246762923301,49.61474950808704,22.25319088290605,1.5597270716416032,1.2841419564875076,1.799002232861218,0.5568532695879629,0.6139578618361005,0.1590498730122979,0.2966800264925721,0.5568532695879629,0.6221333702088727,1.7649973355622677,1.4531434203412803,2.035762669893717,0.6301387947876379,0.6947587241322329,0.1799818745165229,0.7040101827734059,3
0.2,9526,2457,SVM,56.0,22.13836477987421,74.75428250491434,48.97876472353343,54.10392077058744,97.134159143397,97.18372187031464,48.97876472353343,43.03023837280958,0.1718940170374208,1.512923987645176,0.3462181411383819,0.6081875478000894,0.2903396358571792,0.0148458278645097,0.0528966307437063,0.6081875478000894,0.3045943387012235,0.1945163917369364,1.7120346601995535,0.3917827084897702,0.6882289991027137,0.3285502271603783,0.0167996357192783,0.3446809419478633,3
0.2,9526,2457,VADER,70.5263157894737,57.44234800838574,43.976411120471774,53.31589607614182,53.46628679962013,54.32850444397789,52.8969548646269,53.31589607614182,0.8622176443577487,1.5470461533367474,1.2381402985520669,0.3829874107550108,0.5088757471778248,0.4584654795473007,0.7610729417264926,0.6839133244311094,0.5088757471778248,1.099235927624299,1.7506475256323826,1.4010876439405764,0.4333910540034608,0.5758471172496906,0.5188025293403385,0.8612351088463126,1.2439025510849222,3
0.4,19052,4915,BiLSTM,56.736842105263165,49.37106918238994,65.30526315789473,57.03696032564161,58.494404883011185,83.93869410035691,82.92267170753863,57.03696032564161,25.444289217345727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.4,19052,4915,Logistic Regression,58.73684210526316,60.27253668763103,56.88421052631579,57.740897849046526,58.33841980332316,84.29736160683044,83.75193168210092,57.740897849046526,25.95894180350727,0.2273944104704467,1.681597872549723,1.507972044189561,0.5772293765478798,0.5803234036020704,0.174416540703778,0.2143833149981567,0.5772293765478798,0.4186651844228491,0.2573209992307642,1.9029071293951576,1.7064310086608157,0.6531965304307934,0.6566977516419225,0.1973708959838411,0.4737642555766383,3
0.4,19052,4915,Random Forest,41.68421052631579,37.65199161425576,73.64210526315789,51.88350236497507,55.822312648355386,71.10889495416053,69.6653182857112,51.88350236497507,15.286582305805164,0.6016290596309578,1.040221067509879,0.8442079012952993,0.8768683815555375,0.7642278927186967,0.3448882466429175,0.2403970191415564,0.8768683815555375,0.9698039877204784,0.6808073710792604,1.177120950153355,0.955311171767106,0.9922699844245236,0.8648052719833855,0.3902777911976678,1.0974365230083176,3
0.4,19052,4915,SVM,59.78947368421053,29.056603773584907,73.75438596491229,52.85746303757722,56.59545608680909,92.60969976905312,92.28577717672778,52.85746303757722,36.01424368224404,0.7735230766683708,1.7437005309793123,1.6199434193995812,1.2111392162816137,1.084944035582024,0.1362665860355575,0.247407251270471,1.2111392162816137,0.952915292062016,0.8753237628161881,1.973182903056119,1.8331385477541295,1.3705330429907523,1.2277297527579627,0.1542001582531936,1.0783251647583547,3
0.4,19052,4915,VADER,69.78947368421052,57.37945492662474,43.97192982456141,53.126302163422174,53.299423533401146,54.54195535026944,52.99881957516397,53.126302163422174,1.2425318168682864,1.3006142451123253,0.2371846645489483,0.4817123453117358,0.2089560523497787,0.1507365939022956,0.3311411000802022,0.3450842224016392,0.2089560523497787,0.3495303222320444,1.4717835696738273,0.2683997146529734,0.5451088343858854,0.2364560328229747,0.1705745136097867,0.374721430411265,0.3955307942359906,3
